canonical_smiles,molecule_chembl_id,IC50_nM,assay_chembl_id,pIC50
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCOCC4)cc3OC)ncc2Cl)c1,CHEMBL5973804,35.25,CHEMBL5734421,7.452840878672582
S=C(Nc1ccc(Br)cc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL4088760,35.4,CHEMBL4011053,7.450996737974212
CS(=O)(=O)CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,CHEMBL3233773,35.5,CHEMBL3238947,7.449771646944906
COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],CHEMBL3360615,35.5,CHEMBL3375345,7.449771646944906
Fc1ccc(Nc2ncnc3ccc(-c4cnn(C5CCNCC5)c4)cc23)cc1Cl,CHEMBL3828092,35.5,CHEMBL3829377,7.449771646944906
C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nc32)C1,CHEMBL3086104,35.6,CHEMBL3088813,7.448550002027125
Cc1ccc(F)cc1Nc1nc2cc(Cl)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,CHEMBL1916897,35.675,CHEMBL1919050,7.4476360182133154
CCC(=O)N1CC[C@H](N2C(=O)N(c3cccc(F)c3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,CHEMBL4070404,35.8,CHEMBL4038017,7.446116973356125
NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,CHEMBL248116,36.0,CHEMBL923201,7.443697499232712
OC[C@@H](Nc1ncnc2sc(Br)cc12)c1ccccc1,CHEMBL3416603,36.0,CHEMBL3418211,7.443697499232712
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC(C)CNC(C)=O,CHEMBL3671550,36.0,CHEMBL3705421,7.443697499232712
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3F)c2c1,CHEMBL3132872,36.0,CHEMBL3137113,7.443697499232712
